"","term","estimate","std.error","statistic","p.value"
"50","attend_live_non_musical_playNR",-14.7442535371335,1455.39758970002,-0.0101307392849074,0.991916977797915
"51","go_art_exhibit(2) No",0.15417091319162,0.173168426707983,0.890294588467916,0.373307726118092
"52","go_art_exhibitNR",13.8510423049401,980.621797637081,0.0141247546590497,0.988730451062494
"53","go_arts_cultural_fair_festival(2) No",0.299572976598262,0.144708107018472,2.07018793052155,0.0384347490732676
"54","go_arts_cultural_fair_festivalNR",-29.0838458704451,1643.45180236367,-0.0176968048765504,0.985880729588869
"55","go_see_buildings_neighborhoods(2) No",0.131384760147833,0.169100979277391,0.776960374264368,0.437182149334176
"56","go_see_buildings_neighborhoodsNR",-15.815024499835,2490.19303125146,-0.00635092312176582,0.994932730558384
"57","visited_historic_park_monument_value(2) No",-0.334675608319494,0.159795740945851,-2.09439629828997,0.0362246922519858
"58","visited_historic_park_monument_valueNR",NA,NA,NA,NA
"59","read_books_2(2) No",0.279139224200039,0.147980392235561,1.88632574885796,0.0592510715193244
"60","read_books_2NR",13.8044741963448,763.382626814788,0.0180832962546501,0.985572403431763
"61","read_novels_short_stories_2(2) No",0.0049034643776764,0.372629943240673,0.0131590723360344,0.989500882356073
"62","read_novels_short_stories_2NR",1.09653939852019,1.26259017828529,0.86848402385752,0.385129414536873
"63","read_poetry(2) No",-0.065134938686881,0.221788646560603,-0.293680220773082,0.76900226970855
"64","read_poetryNR",NA,NA,NA,NA
"65","read_none_of_the_above_2(2) No",0.29315572875312,0.38425905934273,0.762911691020527,0.445516063416333
"66","read_none_of_the_above_2NR",NA,NA,NA,NA
"67","go_live_book_reading_poetry_storytelling(2) No",-0.203124701097077,0.186059405873346,-1.09171960505639,0.274956365236235
"68","go_live_book_reading_poetry_storytellingNR",12.8040228662857,666.67334436086,0.0192058419233198,0.984676897282377
"69","go_movies_film(2) No",0.0335064984511044,0.0926281529621581,0.361731259661336,0.717552864885229
