"","term","estimate","std.error","statistic","p.value"
"54","go_arts_cultural_fair_festivalNR",-13.7608200442507,1455.39829712848,-0.00945502002537794,0.992456097900713
"55","go_see_buildings_neighborhoods(2) No",0.171514877318365,0.181236524832406,0.946359336104957,0.343965338517752
"56","go_see_buildings_neighborhoodsNR",-3.43823097774289,2757.87951784912,-0.00124669368458285,0.999005282614693
"57","visited_historic_park_monument_value(2) No",0.194533431549396,0.166508781501409,1.16830733968076,0.242682815821881
"58","visited_historic_park_monument_valueNR",NA,NA,NA,NA
"59","read_books_2(2) No",0.21551026291756,0.149259546471132,1.44386250670567,0.148777655046273
"60","read_books_2NR",-0.375012460683976,1.73825861092695,-0.21574031523652,0.829190174119899
"61","read_novels_short_stories_2(2) No",0.56951762790805,0.391385149524488,1.45513346277952,0.145632316817374
"62","read_novels_short_stories_2NR",1.71959783877944,1.10498941408985,1.55621204769262,0.119657677461541
"63","read_poetry(2) No",0.152010372174842,0.259013171769971,0.586882787219188,0.557282430826301
"64","read_poetryNR",NA,NA,NA,NA
"65","read_none_of_the_above_2(2) No",0.40533472085041,0.403146823257521,1.00542704907163,0.31469126056651
"66","read_none_of_the_above_2NR",NA,NA,NA,NA
"67","go_live_book_reading_poetry_storytelling(2) No",-0.120585208440837,0.207059291989385,-0.582370427727624,0.560317196275117
"68","go_live_book_reading_poetry_storytellingNR",28.492688252064,1642.41519271615,0.0173480423089268,0.986158959139122
"69","go_movies_film(2) No",0.256720372030617,0.0944080704917926,2.71926298984085,0.00654275650571134
